field,original,normalized,rule,reason,confidence
amendment_no,1 Eligibility of Tenderer of IFT Sl No. (b) & ITT Clause 9.1 of TDS -The Tenderer shall have successfully completed Fuji HD (China) Brand Lift Servicing and Maintenance Works in 3(Three) Contracts with a Contract value of total Tk. 35 (Thirty five) Lac OR 2(Two) Contracts having same brand Lift Servicing and Maintenance Works with a Contract value of total Tk.28 (Twenty eight) Lac OR Single Contract having same brand Lift Servicing and Maintenance Works with a Contract value of Tk.23 (Twenty three) Lac within last 05 (Five) years under in Govt./ Semi,1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
amendment_no,2 Correction of TDS ITT Clause 9.1.,2,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
tender_id,583196 Re-Tendered ID : 480550,583196,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,583212 Re-Tendered ID : 480572,583212,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,583276 Re-Tendered ID : 480539,583276,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,699109 Re-Tendered ID : 637168,699109,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,699111 Re-Tendered ID : 637171,699111,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
amendment_no,"1 Re-uploading of Detailed Specification of Lift (Annexure A), Terms and conditions of Lift and Letter of Commitment for Bank",1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
tender_id,737121 Re-Tendered ID : 702345,737121,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
pp,Md. Mobarak Hossain,Md Mobarak Hossain,same-key,"identical after case, punctuation and the M/S. prefix are set aside",high
tender_id,796189 Re-Tendered ID : 745254,796189,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,813704 Re-Tendered ID : 800104,813704,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,826146 Re-Tendered ID : 788086,826146,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
status,Contract Awarded 05/R-04,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
tender_id,829141 Re-Tendered ID : 775169,829141,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
status,Contract Awarded tender),Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
amendment_no,"1 The Description of the Item no, 14 and 19 (a) in Price and Delivery Schedule for Goods (Form e-PG3-3A) has been",1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
amendment_no,"1 This Tender Required The minimum amount of liquid assets or working capital or credit facilities of the Tenderer shall be Tk.70,00,000/- (Seventy Lac ) only. But Inadvertently this Tender id 870260 The minimum amount of liquid assets or working capital or credit facilities of the Tenderer wsa written Tk.70,000/- (Seventy Thousand) only.",1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
tender_id,879523 Re-Tendered ID : 840299,879523,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
amendment_no,1 Qualification Criteria-Updated Required- (a) The minimum number of years of general experience of the Tenderer shall be 05(five) years.,1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
tender_id,888738 Re-Tendered ID : 832070,888738,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,888828 Re-Tendered ID : 825901,888828,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
amendment_no,2 Due to Technicl Falt at the tender submission on bidder site.,2,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
status,Contract Awarded Dated:31/01/17,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
amendment_no,1 Due to Technicl Falt at the tender submission on bidder site.,1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
amendment_no,1 Tender Submission time is extended for 7(Seven) days due to request of some potential Bidder for the following reasons:- • Manufacturer Authorization is required from abroad.,1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
amendment_no,1 Correction ITT Clause of 21.2 regarding Tender Security,1,leading-serial-number,"the amendment cell prints the serial number and then the narrative of the change, with no label between them",high
tender_id,98617 Re-Tendered ID : 86290,98617,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
status,Contract Awarded date:24.06.2024,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Contract Awarded date:14/08/2025,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Contract Awarded date:20/08/2025,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Contract Awarded date:22/02/2026,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
tender_id,638918 Re-Tendered ID : 627115,638918,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,638921 Re-Tendered ID : 627116,638921,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,680144 Re-Tendered ID : 638921,680144,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,699958 Re-Tendered ID : 591949,699958,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,745614 Re-Tendered ID : 731597,745614,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
status,Contract Awarded 08-2023.,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,To be Re-Tendered 09-2023.,To be Re-Tendered,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Re-Tendered 12-2023.,Re-Tendered,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Cancelled date:10.01.2024,Cancelled,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Contract Awarded date:10.01.2024,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
tender_id,941511 Re-Tendered ID : 929618,941511,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
status,Contract Awarded 2024,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Contract Awarded date:25.01.2024,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Re-Tendered date:13.03.2024,Re-Tendered,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
tender_id,976553 Re-Tendered ID : 961984,976553,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
status,Contract Awarded date:23.04.2024,Contract Awarded,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
status,Being processed 05-2024,Being processed,leading-status-term,the status cell is followed by the wrapped tail of the invitation reference number,high
tender_id,,1100000,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,,130206,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,,95841,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,,97791,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,,672890,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,,2026,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
tender_id,,23110,id-from-filename,the field was empty or unparseable; the portal names the file after the tender id,medium
